tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,views,hashtags
1435007304177438721,901235330027749377,2021-09-06 22:29:37+00:00,motivation super eagle co air peace,https://t.co/iaF0tea7VA,,en,26,13,4,1,,
1434896310608580611,24291371,2021-09-06 15:08:34+00:00,help restore unity siberia air peace boss urges super eagles chairman air peace airline allen oedema urged super eagles win next world cup qualifying match cape verse,https://t.co/eLZh1ov0Tn,,en,46,5,6,0,,
1433910947148615680,901235330027749377,2021-09-03 21:53:05+00:00,yet opportunities given denied previous government loved gros abandoning burri administration rates gros today wrote air peace n13bn tax debt hear owner,https://t.co/gVonk84xKA,@OfficialPDPNig,en,12,6,0,0,,
1434474317337796609,127019706,2021-09-05 11:11:43+00:00,air peace god judge people,,,en,1,0,6,1,,
1434813728353050625,792145734,2021-09-06 09:40:25+00:00,exploits pitch unite nigerians air peace boss tells super eagles,https://t.co/GXKuLTQAOu,,en,5,2,1,0,,
1434933635736473601,2939509486,2021-09-06 17:36:53+00:00,goose pimples body listened talk players solemn duty love country make proud god bless allen oedema air peace siberia,https://t.co/5wkuFRaSIY,,en,172,80,14,8,,
1435155987216977920,1954402777,2021-09-07 08:20:25+00:00,beat cape verse get nom air peace co tells eagles thecal,https://t.co/MbQriBaO7P,,en,24,1,2,1,,
1433086287037145095,39975533,2021-09-01 15:16:10+00:00,air peace signs sponsorship agreement off,https://t.co/mFu2qb2zhe,,en,4,1,0,0,,vanguardnews
1433734936268320804,447757907,2021-09-03 10:13:40+00:00,burri real owner air peace may oedema front,https://t.co/EimODGycxT,,en,133,27,23,9,,
1433337335115096065,1954402777,2021-09-02 07:53:45+00:00,air peace becomes official airline iberian national tears thecal,https://t.co/lbbmNaJODk,,en,38,8,1,0,,
1434446737855418370,96283644,2021-09-05 09:22:07+00:00,air peace signs sponsorship agreement off,https://t.co/F8SJfmlW1e,,en,0,0,0,0,,
1433144571563806724,959160403937947648,2021-09-01 19:07:47+00:00,air peace becomes official airline siberia national team,https://t.co/0GvMaAohWQ,,en,3,0,0,0,,
1433279926908571651,959528418953056256,2021-09-02 04:05:38+00:00,air peace splashed n300m super eagles others,https://t.co/VSldFpRKeO,,en,0,0,0,0,,
1434864205132337155,96283644,2021-09-06 13:00:59+00:00,unite siberia football air peace boss charges super eagles,https://t.co/YjtfItwxMF,,en,0,0,0,0,,
1433751424459022340,304957853,2021-09-03 11:19:12+00:00,air peace signs forbear n300m airline agreement off,https://t.co/VoUCQgSuNI,,en,0,0,0,0,,
1432505790259240974,959528418953056256,2021-08-31 00:49:29+00:00,air peace nocityleftbehind initiative respite nigerians,https://t.co/3mLPYnaHHt,,en,0,0,0,0,,
1435674742502141958,69271273,2021-09-08 18:41:46+00:00,chairman air peace allen oedema fulfilled not million promise super eagles,https://t.co/n9CbMFvmsk,,en,37,3,0,0,,
1429889764061323270,1336735076055453698,2021-08-23 19:34:20+00:00,possible election calling brigadier perewinkle miss air peace,https://t.co/eLTTP6wpU9,,en,14,2,0,0,,BBNaija
1427692371404263424,1374826243074428940,2021-08-17 18:02:41+00:00,today joined excellency entr semi making official flag air peace operations baden commissioning protocol lounge baden airport,https://t.co/KecORXo5fK,,en,93,32,1,0,,
